method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
topk,topk_k=113_seed=0,0,k,113,last,1,1058929,1786569932009994444,Sparse but Wrong Eq. (4),0.07280651742191738
topk,topk_k=114_seed=0,0,k,114,last,1,1058929,1786569948074227377,Sparse but Wrong Eq. (4),0.07246025218715575
topk,topk_k=115_seed=0,0,k,115,last,1,1058929,1786569938406087209,Sparse but Wrong Eq. (4),0.07208554701440403
topk,topk_k=116_seed=0,0,k,116,last,1,1058929,1786569952262288073,Sparse but Wrong Eq. (4),0.07335740421357158
topk,topk_k=117_seed=0,0,k,117,last,1,1058929,1786569954850325576,Sparse but Wrong Eq. (4),0.0716955258790405
topk,topk_k=118_seed=0,0,k,118,last,1,1058929,1786569953922312130,Sparse but Wrong Eq. (4),0.072082386999598
topk,topk_k=119_seed=0,0,k,119,last,1,1058929,1786569954010313404,Sparse but Wrong Eq. (4),0.0727240759921642
topk,topk_k=11_seed=0,0,k,11,last,1,1058929,1786569838252631066,Sparse but Wrong Eq. (4),0.07647688435011173
topk,topk_k=120_seed=0,0,k,120,last,1,1058929,1786569954874325924,Sparse but Wrong Eq. (4),0.07204748155389962
topk,topk_k=121_seed=0,0,k,121,last,1,1058929,1786569958606379995,Sparse but Wrong Eq. (4),0.0714743129024952
topk,topk_k=122_seed=0,0,k,122,last,1,1058929,1786569957382362262,Sparse but Wrong Eq. (4),0.07146485591264227
topk,topk_k=123_seed=0,0,k,123,last,1,1058929,1786569958162373563,Sparse but Wrong Eq. (4),0.07168550830203695
topk,topk_k=124_seed=0,0,k,124,last,1,1058929,1786569956286346383,Sparse but Wrong Eq. (4),0.07136882401732494
topk,topk_k=125_seed=0,0,k,125,last,1,1058929,1786569959098387123,Sparse but Wrong Eq. (4),0.07132403056887758
topk,topk_k=126_seed=0,0,k,126,last,1,1058929,1786569959766396800,Sparse but Wrong Eq. (4),0.07113968319631381
topk,topk_k=127_seed=0,0,k,127,last,1,1058929,1786569961026415053,Sparse but Wrong Eq. (4),0.07126116080620006
topk,topk_k=128_seed=0,0,k,128,last,1,1058929,1786569962086430407,Sparse but Wrong Eq. (4),0.07114936959000671
